
 - final statistics:
3 variables; iteration 0; function evaluation 0
Function value 7.0935e+03; maximum gradient component mag -1.2512e-04
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.82552 -6.83229e-05 |  2 -0.64808 -1.25124e-04 |  3 -0.99393  6.18941e-07

 - final statistics:
15 variables; iteration 0; function evaluation 0
Function value 7.0935e+03; maximum gradient component mag -7.6605e-04
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.38767  2.16206e-04 |  2  0.35802  1.75565e-04 |  3 -0.14696  6.84758e-04
  4  0.02639  2.82194e-04 |  5 -0.68375 -1.02188e-04 |  6 -0.61919 -1.96016e-04
  7 -0.41866  9.96532e-05 |  8  0.35663 -1.95950e-05 |  9 -0.20076  6.23411e-04
 10  0.08187  3.10771e-04 | 11 -0.61141 -2.20351e-04 | 12 -0.63626 -7.66046e-04
 13  0.82552 -6.83229e-05 | 14 -0.64808 -1.25124e-04 | 15 -0.99393  6.18941e-07

 - final statistics:
174 variables; iteration 0; function evaluation 0
Function value 7.0935e+03; maximum gradient component mag -7.6605e-04
Exit code = 0;  converg criter 1.0000e+00
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.38767  2.16206e-04 |  2  0.35802  1.75565e-04 |  3 -0.14696  6.84758e-04
  4  0.02639  2.82194e-04 |  5 -0.68375 -1.02188e-04 |  6 -0.61919 -1.96016e-04
  7 -0.41866  9.96532e-05 |  8  0.35663 -1.95950e-05 |  9 -0.20076  6.23411e-04
 10  0.08187  3.10771e-04 | 11 -0.61141 -2.20351e-04 | 12 -0.63626 -7.66046e-04
 13  0.82552 -6.83229e-05 | 14 -0.00261  7.53219e-07 | 15 -0.00262  5.14497e-06
 16 -0.00263 -3.78016e-06 | 17 -0.00262 -2.41095e-06 | 18 -0.00261 -1.78486e-06
 19 -0.00258  9.85249e-07 | 20 -0.00255  1.46859e-06 | 21 -0.00250 -1.47267e-06
 22 -0.00244 -1.72054e-06 | 23 -0.00237  1.06765e-07 | 24 -0.00229  2.62020e-06
 25 -0.00219 -4.63375e-06 | 26 -0.00208 -2.32923e-06 | 27 -0.00196  2.53862e-06
 28 -0.00182 -4.45049e-06 | 29 -0.00167 -1.11581e-06 | 30 -0.00151 -1.82050e-06
 31 -0.00133 -1.89515e-06 | 32 -0.00114 -2.15743e-06 | 33 -0.00093 -3.46244e-06
 34 -0.00072 -4.38102e-06 | 35 -0.00049 -3.30036e-06 | 36 -0.00026 -4.48499e-06
 37 -0.00002 -1.93103e-06 | 38  0.00020 -6.33568e-06 | 39  0.00041  1.39581e-06
 40  0.00060 -3.41829e-06 | 41  0.00075 -4.70310e-06 | 42  0.00086 -6.10757e-06
 43  0.00091 -4.56854e-06 | 44  0.00090 -1.78807e-06 | 45  0.00083 -6.77972e-06
 46  0.00069 -7.11915e-06 | 47  0.00050  2.12450e-06 | 48  0.00026  2.09798e-06
 49 -0.00001 -1.05331e-05 | 50 -0.00030 -2.12521e-06 | 51 -0.00056  4.91398e-06
 52 -0.00079 -6.82876e-06 | 53 -0.00094 -1.28220e-05 | 54 -0.00099  4.32216e-06
 55 -0.00091 -8.10814e-06 | 56 -0.00066 -3.61168e-07 | 57 -0.00022 -4.76001e-06
 58  0.00045 -1.99298e-07 | 59  0.00137 -2.92610e-06 | 60  0.00256 -1.24662e-05
 61  0.00404 -1.22444e-06 | 62  0.00580  6.75441e-06 | 63  0.00783 -1.47172e-06
 64  0.01011 -6.99423e-06 | 65  0.01256  8.42554e-06 | 66  0.01508  4.70019e-06
 67  0.01752 -7.19422e-06 | 68  0.01970  6.84844e-06 | 69  0.02143  4.55205e-06
 70  0.02254 -1.11920e-05 | 71  0.02293 -7.36150e-07 | 72  0.02261 -2.26700e-05
 73  0.02168  1.67716e-06 | 74  0.02023 -1.23975e-06 | 75  0.01831  1.94924e-06
 76  0.01590 -4.31228e-06 | 77  0.01291 -1.20791e-05 | 78  0.00931 -8.98822e-06
 79  0.00522 -1.88771e-05 | 80  0.00097 -1.19524e-05 | 81 -0.00296 -9.45363e-06
 82 -0.00620 -1.95902e-05 | 83 -0.00860 -3.31756e-05 | 84 -0.01033 -4.22707e-05
 85 -0.01173 -1.86070e-05 | 86 -0.01293 -2.78732e-05 | 87 -0.01352 -4.40262e-05
 88 -0.01312 -5.92243e-05 | 89 -0.01209 -3.35304e-05 | 90 -0.00933 -2.59313e-05
 91 -0.00485 -1.07716e-05 | 92  0.00133 -3.64710e-05 | 93  0.00519 -4.55555e-05
 94  0.00820 -8.24580e-05 | 95  0.01087 -7.61239e-05 | 96  0.00611 -4.82356e-05
 97  0.00747 -5.78763e-05 | 98  0.02557 -2.72839e-05 | 99  0.01874  4.04755e-05
100  0.00021  5.72168e-05 |101  0.01997  6.85246e-05 |102  0.08630  4.00047e-05
103  0.03406  3.66681e-05 |104 -0.00555  7.20869e-05 |105  0.00548  6.46827e-05
106  0.01794  1.19854e-04 |107  0.03196  9.35666e-05 |108 -0.00073  1.99366e-05
109 -0.06704  3.53016e-05 |110 -0.08406 -3.90160e-05 |111 -0.08247 -5.97967e-05
112 -0.04737 -3.36055e-05 |113  0.06416  1.01133e-06 |114  0.01510  1.11435e-04
115  0.00908  7.07351e-05 |116 -0.04026  2.91768e-06 |117 -0.08121  1.11839e-05
118 -0.03137  1.21924e-05 |119 -0.02415  1.33808e-05 |120 -0.04966 -9.36455e-06
121  0.00275  4.14039e-05 |122  0.03969  8.31118e-05 |123 -0.00317 -4.07634e-05
124  0.04570 -8.41768e-05 |125 -0.01655 -3.56719e-05 |126  0.10265 -2.51391e-05
127 -0.01123 -1.70233e-05 |128 -0.05016  3.55562e-05 |129 -0.06006  2.62302e-07
130 -0.02641 -2.22862e-05 |131  0.08554  2.27624e-05 |132  0.02400  5.77814e-06
133  0.01266  5.78760e-06 |134 -0.03397 -1.80362e-07 |135 -0.01914  1.56671e-06
136 -0.00406 -1.36379e-06 |137 -0.00000  6.59064e-08 |138 -0.64808 -1.25124e-04
139 -0.99393  6.18941e-07 |140  0.03121 -4.76644e-05 |141 -0.58651 -1.12056e-07
142  0.03495  3.17781e-05 |143 -0.10991  2.12838e-05 |144  0.20000  7.76778e-06
145  0.16748 -1.13490e-04 |146 -0.58136  1.33687e-07 |147 -0.00720  4.66673e-05
148  0.12386 -6.00050e-05 |149 -0.04033  6.94926e-05 |150  0.09532  5.20228e-05
151  0.04853 -6.50204e-05 |152  0.14563 -9.13586e-06 |153 -0.03738 -3.90711e-06
154 -0.58548  8.88803e-06 |155 -0.50980  3.44295e-08 |156 -0.20972 -6.47177e-06
157 -0.21217  7.80598e-05 |158  0.19395 -6.14314e-05 |159  0.08261 -6.12707e-06
160 -0.39563 -1.13653e-05 |161 -0.20088 -2.22653e-07 |162 -0.03778  2.83060e-06
163  0.08906  5.62966e-05 |164 -0.52696  8.54154e-08 |165  0.07864 -3.27885e-05
166  0.06407 -1.17024e-04 |167 -0.17462 -3.83858e-04 |168 -0.15651 -5.98332e-05
169  0.22776  3.80707e-06 |170  0.01200 -2.22459e-06 |171 -0.36298 -2.39840e-05
172 -0.44269 -2.56845e-07 |173 -0.04126 -1.70127e-05 |174 -0.30026 -7.34534e-05

Initial statistics: 189 variables; iteration 0; function evaluation 0; phase 4
Function value 7.0934810e+03; maximum gradient component mag -3.2193e-03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
