ParName   Value   Gradient
MGparm[1]    0.0420567 6.35506e-006
MGparm[2]      11.2022 2.58747e-007
MGparm[3]       55.159 2.86518e-007
MGparm[4]    0.0812074 8.47442e-007
MGparm[5]    0.0691376 1.23677e-007
MGparm[6]     0.109452 1.15565e-007
SR_parm[1]      6.18598 -5.99977e-006
recdev_early(1900)   0.00341514 -1.28156e-008
recdev_early(1901)   0.00377961 -6.3446e-008
recdev_early(1902)    0.0041733 -1.42158e-008
recdev_early(1903)   0.00459431 1.16367e-008
recdev_early(1904)   0.00503927  4.0237e-008
recdev_early(1905)   0.00550243 -2.91375e-008
recdev_early(1906)   0.00597561 -2.67746e-008
recdev_early(1907)   0.00644829 3.53462e-008
recdev_early(1908)   0.00690682 -9.17719e-008
recdev_early(1909)    0.0073345 -8.10337e-008
recdev_early(1910)    0.0077111 -7.0236e-008
recdev_early(1911)   0.00801294 -1.19273e-008
recdev_early(1912)   0.00821265 -4.67987e-009
recdev_early(1913)   0.00827841 -5.58105e-008
recdev_early(1914)   0.00817579 -8.06692e-008
recdev_early(1915)   0.00786951 -5.37191e-008
recdev_early(1916)   0.00732135 -6.81792e-008
recdev_early(1917)   0.00649008 -3.67416e-008
recdev_early(1918)   0.00534213 -2.2117e-008
recdev_early(1919)   0.00378358  2.9332e-008
recdev_early(1920)   0.00178339 -6.52492e-008
recdev_early(1921) -0.000611625 3.55173e-008
recdev_early(1922)  -0.00340691 -4.60533e-008
recdev_early(1923)  -0.00659021 -1.40023e-007
recdev_early(1924)   -0.0101597 -1.31354e-008
recdev_early(1925)   -0.0140621 -2.30269e-008
recdev_early(1926)   -0.0182162 3.88175e-008
recdev_early(1927)   -0.0226001 -1.1266e-007
recdev_early(1928)   -0.0271564 -6.25756e-008
recdev_early(1929)   -0.0315789 -1.43738e-007
recdev_early(1930)    -0.035629 -1.24718e-007
recdev_early(1931)   -0.0392176 -8.58576e-008
recdev_early(1932)   -0.0422384 -1.25485e-007
recdev_early(1933)   -0.0446893 1.24249e-008
recdev_early(1934)   -0.0464564 -5.18389e-008
recdev_early(1935)   -0.0474329 -2.69114e-008
recdev_early(1936)   -0.0475449 -9.07477e-008
recdev_early(1937)   -0.0467229 -3.26832e-008
recdev_early(1938)   -0.0449442 1.15971e-007
recdev_early(1939)   -0.0422091 -1.26861e-007
recdev_early(1940)   -0.0385338 3.25496e-009
recdev_early(1941)   -0.0339401 -5.79309e-008
recdev_early(1942)   -0.0284888 -1.41007e-007
recdev_early(1943)   -0.0222458 -1.02604e-007
recdev_early(1944)   -0.0153029 -1.65567e-007
recdev_early(1945)  -0.00777782 -7.80147e-008
recdev_early(1946)  0.000250412 -1.84879e-007
recdev_early(1947)    0.0086606 -1.85645e-007
recdev_early(1948)    0.0173102 -5.10224e-008
recdev_early(1949)    0.0260225 -1.58086e-007
recdev_early(1950)     0.034587 -1.72791e-007
recdev_early(1951)    0.0427473 -1.64099e-007
recdev_early(1952)    0.0501842 -1.3218e-007
recdev_early(1953)    0.0565582 -1.33796e-007
recdev_early(1954)    0.0614899 -1.26191e-007
recdev_early(1955)    0.0645589 -1.73011e-007
recdev_early(1956)     0.065406 -2.54326e-007
recdev_early(1957)    0.0637466 -1.56242e-007
recdev_early(1958)    0.0593718 -1.09862e-007
recdev_early(1959)    0.0523144 -3.14068e-007
recdev_early(1960)    0.0428068 -2.39829e-007
recdev_early(1961)     0.031332 -2.20425e-007
recdev_early(1962)    0.0185335 -2.01294e-007
recdev_early(1963)   0.00514784 -2.54796e-007
recdev_early(1964)  -0.00804078 -2.01735e-007
recdev_early(1965)   -0.0202507 -1.34808e-007
recdev_early(1966)   -0.0307766 -3.56997e-007
recdev_early(1967)    -0.039025 -3.82916e-007
recdev_early(1968)   -0.0446457 -3.0252e-007
recdev_early(1969)   -0.0474386 -2.81936e-007
recdev_early(1970)   -0.0471179 -2.76471e-007
recdev_early(1971)   -0.0423978 -1.98766e-007
recdev_early(1972)   -0.0304725  -1.177e-007
recdev_early(1973)   -0.0118503 -2.47455e-007
recdev_early(1974)  -0.00185095 -1.69597e-007
recdev_early(1975)  0.000791275 -2.35798e-007
recdev_early(1976)   0.00576085 -2.61886e-007
recdev_early(1977)    0.0205702 -1.54936e-007
recdev_early(1978)    0.0285021 -2.27936e-007
recdev_early(1979)  -0.00285902 -1.42111e-007
recdev1(1980)   -0.0628866 -6.33476e-008
recdev1(1981)    -0.151525 -2.20928e-007
recdev1(1982)     -0.23875 -9.8309e-008
recdev1(1983)    -0.262017 -6.52073e-008
recdev1(1984)    -0.243508 1.88285e-008
recdev1(1985)    -0.201958 -2.53871e-009
recdev1(1986)    -0.134128 2.23764e-007
recdev1(1987)    0.0191976 1.86827e-007
recdev1(1988)     0.343798 3.68937e-007
recdev1(1989)      0.30134 1.68829e-007
recdev1(1990)     0.201396 2.42251e-007
recdev1(1991)     0.126557 2.15379e-007
recdev1(1992)    0.0448407  1.8058e-007
recdev1(1993)   -0.0613971 -6.92254e-008
recdev1(1994)    -0.320111 5.47711e-008
recdev1(1995)    -0.333075 -6.7418e-008
recdev1(1996)    -0.112313    2.27e-008
recdev1(1997)   -0.0488247 -1.96129e-008
recdev1(1998)      0.75334 -7.73975e-008
recdev1(1999)      1.66075 -5.17225e-008
recdev1(2000)     0.225704 -1.08649e-007
recdev1(2001)     0.702462 -1.21997e-007
recdev1(2002)    -0.561708 -4.61336e-008
recdev1(2003)    0.0141667 -1.08284e-007
recdev1(2004)    -0.170323 -5.13281e-008
recdev1(2005)    -0.400826 -1.26369e-007
recdev1(2006)    -0.402261 -1.1539e-007
recdev1(2007)   -0.0925655 -8.06853e-008
recdev1(2008)    -0.108039 -9.43248e-008
recdev1(2009)    -0.196886 -8.37671e-009
recdev1(2010)    -0.298293 -6.34294e-008
recdev1(2011)   0.00783728 -2.89289e-009
Fcast_recruitments(2012)            0            0
Fcast_recruitments(2013)            0            0
Fcast_recruitments(2014)            0            0
Fcast_recruitments(2015)            0            0
Fcast_recruitments(2016)            0            0
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Q_parm[1]    -0.969775 -2.97644e-007
Q_parm[2]     0.104222 -1.10658e-007
Q_parm[4]    0.0497196 1.32373e-008
Q_parm[6]     0.053396 4.34368e-009
Q_parm[8] 4.28132e-008 -1.83177e-008
selparm[1]      51.0254 -7.97524e-007
selparm[3]      4.05603 9.03307e-007
selparm[5]     -3.30553 4.90931e-007
selparm[7]      5.00411 -4.91646e-008
selparm[8]      5.90194 1.22537e-007
selparm[9]      9.98104 -8.47954e-009
selparm[11]      48.4082 -8.70459e-007
selparm[13]      3.19691 8.18317e-007
selparm[15]     -5.79853 1.88904e-008
selparm[17]       31.193 -2.25706e-008
selparm[18]      1.77049  3.7604e-009
selparm[19]      2.58074 -8.12836e-009
selparm[21]      56.0393 -4.30977e-007
selparm[23]       4.2011 7.31526e-007
selparm[27]      19.5151 -3.37368e-007
selparm[28]     -3.27898 -3.25463e-008
selparm[29]      2.54306 -2.40354e-008
selparm[30]      3.99784 -6.16055e-008
selparm[31]     -3.01226 -3.47757e-007
selparm[32]     -3.35089 -1.1325e-008
selparm[33]      33.8094  -5.212e-008
selparm[35]      4.52241 -6.90169e-009
selparm[41]      18.2443 -1.02487e-007
selparm[43]      2.70431 1.29272e-007
selparm[47]      38.4597 -1.09958e-007
selparm[48]      3.77886 1.38622e-007
selparm[49]      35.1771 9.25876e-009
selparm[50]      42.8716 -1.11994e-007
selparm[51]      2.61078 6.71699e-010
selparm[52]       4.6341 -9.86209e-010
selparm[53]      2.22137 -6.55727e-009
selparm[54]      1.17055 1.99638e-007
selparm[55]      45.3607 -4.83765e-007
selparm[56]      2.55996 2.02871e-007
selparm[60]     -1.15134 -1.43749e-007
