Year,Fleet,Sex,Neff,Type
2004,Trawl_discard,Unsexed,14,FD
2005,Trawl_discard,Unsexed,21,FD
2006,Trawl_discard,Unsexed,30,FD
2007,Trawl_discard,Unsexed,103,FD
2008,Trawl_discard,Unsexed,247,FD
2009,Trawl_discard,Unsexed,243,FD
2010,Trawl_discard,Unsexed,139,FD
2011,Trawl_discard,Unsexed,18,FD
2012,Trawl_discard,Unsexed,37,FD
2013,Trawl_discard,Unsexed,43,FD
2014,Trawl_discard,Unsexed,31,FD
2015,Trawl_discard,Unsexed,5,FD
2016,Trawl_discard,Unsexed,9,FD
2019,Trawl_discard,Unsexed,5,FD
2020,Trawl_discard,Unsexed,5,FD
2022,Trawl_discard,Unsexed,8,FD
2023,Trawl_discard,Unsexed,8,FD
2004,Nontrawl_discard,Unsexed,6,FD
2005,Nontrawl_discard,Unsexed,35,FD
2006,Nontrawl_discard,Unsexed,9,FD
2007,Nontrawl_discard,Unsexed,22,FD
2008,Nontrawl_discard,Unsexed,14,FD
2009,Nontrawl_discard,Unsexed,12,FD
2010,Nontrawl_discard,Unsexed,41,FD
2011,Nontrawl_discard,Unsexed,67,FD
2012,Nontrawl_discard,Unsexed,73,FD
2013,Nontrawl_discard,Unsexed,20,FD
2014,Nontrawl_discard,Unsexed,23,FD
2015,Nontrawl_discard,Unsexed,50,FD
2016,Nontrawl_discard,Unsexed,37,FD
2017,Nontrawl_discard,Unsexed,64,FD
2018,Nontrawl_discard,Unsexed,63,FD
2019,Nontrawl_discard,Unsexed,125,FD
2020,Nontrawl_discard,Unsexed,8,FD
2021,Nontrawl_discard,Unsexed,18,FD
2022,Nontrawl_discard,Unsexed,20,FD
2023,Nontrawl_discard,Unsexed,13,FD
1996,Trawl,Unsexed,29,FD
1997,Trawl,Unsexed,38,FD
1998,Trawl,Unsexed,30,FD
1999,Trawl,Unsexed,22,FD
2000,Trawl,Unsexed,34,FD
2001,Trawl,Unsexed,27,FD
2002,Trawl,Unsexed,32,FD
2003,Trawl,Unsexed,48,FD
2004,Trawl,Unsexed,35,FD
2005,Trawl,Unsexed,30,FD
2007,Trawl,Unsexed,87,FD
2008,Trawl,Unsexed,75,FD
2009,Trawl,Unsexed,91,FD
2010,Trawl,Unsexed,81,FD
2011,Trawl,Unsexed,77,FD
2012,Trawl,Unsexed,104,FD
2013,Trawl,Unsexed,70,FD
2014,Trawl,Unsexed,91,FD
2015,Trawl,Unsexed,128,FD
