
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3796087e+03; maximum gradient component mag -2.5350e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42335 -2.70975e+01 |  2 -0.09168 -2.53497e+02 |  3  0.00000  4.68020e+00
  4  0.00000  4.80098e+00 |  5  0.00000  4.92278e+00 |  6  0.00000  5.04533e+00
  7  0.00000  5.16848e+00 |  8  0.00000  5.29181e+00 |  9  0.00000  5.41490e+00
 10  0.00000  5.53740e+00 | 11  0.00000  5.65892e+00 | 12  0.00000  5.77906e+00
 13  0.00000  5.89742e+00 | 14  0.00000  6.01359e+00 | 15  0.00000  6.12712e+00
 16  0.00000  6.23747e+00 | 17  0.00000  6.34400e+00 | 18  0.00000  6.44600e+00
 19  0.00000  6.54280e+00 | 20  0.00000  6.63379e+00 | 21  0.00000  6.71853e+00
 22  0.00000  6.79646e+00 | 23  0.00000  6.86694e+00 | 24  0.00000  6.92916e+00
 25  0.00000  6.98211e+00 | 26  0.00000  7.02464e+00 | 27  0.00000  7.05544e+00
 28  0.00000  7.07329e+00 | 29  0.00000  7.07701e+00 | 30  0.00000  7.06497e+00
 31  0.00000  7.03752e+00 | 32  0.00000  6.99377e+00 | 33  0.00000  6.93334e+00
 34  0.00000  6.85618e+00 | 35  0.00000  6.76225e+00 | 36  0.00000  6.65175e+00
 37  0.00000  6.52526e+00 | 38  0.00000  6.38329e+00 | 39  0.00000  6.22646e+00
 40  0.00000  6.05529e+00 | 41  0.00000  5.86977e+00 | 42  0.00000  5.66889e+00
 43  0.00000  5.45087e+00 | 44  0.00000  5.21192e+00 | 45  0.00000  4.94614e+00
 46  0.00000  4.64636e+00 | 47  0.00000  4.30442e+00 | 48  0.00000  3.91077e+00
 49  0.00000  3.45592e+00 | 50  0.00000  2.92973e+00 | 51  0.00000  2.32228e+00
 52  0.00000  1.62344e+00 | 53  0.00000  8.24388e-01 | 54  0.00000 -8.22603e-02
 55  0.00000 -1.10144e+00 | 56  0.00000 -2.23624e+00 | 57  0.00000 -3.48605e+00
 58  0.00000 -4.84542e+00 | 59  0.00000 -6.30483e+00 | 60  0.00000 -7.84815e+00
 61  0.00000 -9.45370e+00 | 62  0.00000 -1.10919e+01 | 63  0.00000 -1.27281e+01
 64  0.00000 -1.43227e+01 | 65  0.00000 -1.58332e+01 | 66  0.00000 -1.72180e+01
 67  0.00000 -1.84448e+01 | 68  0.00000 -1.94935e+01 | 69  0.00000 -2.03572e+01
 70  0.00000 -2.10414e+01 | 71  0.00000 -2.15496e+01 | 72  0.00000 -2.18759e+01
 73  0.00000 -2.19962e+01 | 74  0.00000 -2.18742e+01 | 75  0.00000 -2.14828e+01
 76  0.00000 -2.08304e+01 | 77  0.00000 -1.99869e+01 | 78  0.00000 -1.90753e+01
 79  0.00000 -1.82419e+01 | 80  0.00000 -1.75787e+01 | 81  0.00000 -1.71033e+01
 82  0.00000 -1.67714e+01 | 83  0.00000 -1.65963e+01 | 84  0.00000 -1.67362e+01
 85  0.00000 -1.72561e+01 | 86  0.00000 -1.79161e+01 | 87  0.00000 -1.91955e+01
 88  0.00000 -2.09874e+01 | 89  0.00000 -2.34013e+01 | 90  0.00000 -2.54254e+01
 91  0.00000 -2.75230e+01 | 92  0.00000 -2.99331e+01 | 93  0.00000 -3.15405e+01
 94  0.00000 -3.62389e+01 | 95  0.00000 -4.61688e+01 | 96  0.00000 -5.22569e+01
 97  0.00000 -5.26456e+01 | 98  0.00000 -6.55502e+01 | 99  0.00000 -8.24591e+01
100  0.00000 -6.56690e+01 |101  0.00000 -3.54139e+01 |102  0.00000 -2.60830e+01
103  0.00000 -1.85325e+01 |104  0.00000 -4.03639e+00 |105  0.00000  3.87244e+01
106  0.00000  1.10151e+02 |107  0.00000  1.42921e+02 |108  0.00000  1.34699e+02
109  0.00000  7.22392e+01 |110  0.00000 -5.47761e+00 |111  0.00000  4.44322e+00
112  0.00000  2.69311e+01 |113  0.00000  5.36367e+01 |114  0.00000  7.34690e+01
115  0.00000  4.05066e+01 |116  0.00000  2.43240e+01 |117  0.00000  1.91424e+01
118  0.00000 -1.92910e+01 |119  0.00000 -4.50944e+01 |120  0.00000 -3.16912e+01
121  0.00000 -5.06873e+01 |122  0.00000 -2.07252e+01 |123  0.00000 -9.03708e+01
124  0.00000  3.40004e+00 |125  0.00000  2.57014e+01 |126  0.00000  2.81934e+01
127  0.00000  9.35386e+00 |128  0.00000 -3.69571e+01 |129  0.00000 -1.38214e+01
130  0.00000 -3.71251e+00 |131  0.00000  1.08142e+01 |132  0.00000  5.18093e+00
133  0.00000  1.49380e+00 |134  0.00000  1.14344e-01 |135  0.27523 -3.69358e+01
136  0.18628 -5.81173e+01 |

Intermediate statistics: 136 variables; iteration 20; function evaluation 27; phase 1
Function value 7.3422579e+03; maximum gradient component mag -1.3604e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42593 -4.46445e+01 |  2 -0.10762 -1.36044e+02 |  3 -0.00946  4.64288e-01
  4 -0.00960  4.93796e-01 |  5 -0.00973  5.25468e-01 |  6 -0.00985  5.59451e-01
  7 -0.00996  5.95922e-01 |  8 -0.01005  6.34996e-01 |  9 -0.01013  6.76810e-01
