
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 5.3245179e+03; maximum gradient component mag -2.5989e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42335  7.39775e+01 |  2 -0.09168 -2.59889e+02 |  3  0.00000  3.68201e+00
  4  0.00000  3.77105e+00 |  5  0.00000  3.86003e+00 |  6  0.00000  3.94864e+00
  7  0.00000  4.03664e+00 |  8  0.00000  4.12358e+00 |  9  0.00000  4.20903e+00
 10  0.00000  4.29257e+00 | 11  0.00000  4.37373e+00 | 12  0.00000  4.45207e+00
 13  0.00000  4.52711e+00 | 14  0.00000  4.59836e+00 | 15  0.00000  4.66526e+00
 16  0.00000  4.72723e+00 | 17  0.00000  4.78357e+00 | 18  0.00000  4.83353e+00
 19  0.00000  4.87638e+00 | 20  0.00000  4.91145e+00 | 21  0.00000  4.93816e+00
 22  0.00000  4.95579e+00 | 23  0.00000  4.96357e+00 | 24  0.00000  4.96058e+00
 25  0.00000  4.94578e+00 | 26  0.00000  4.91800e+00 | 27  0.00000  4.87603e+00
 28  0.00000  4.81872e+00 | 29  0.00000  4.74500e+00 | 30  0.00000  4.65355e+00
 31  0.00000  4.54437e+00 | 32  0.00000  4.41673e+00 | 33  0.00000  4.27026e+00
 34  0.00000  4.10497e+00 | 35  0.00000  3.92099e+00 | 36  0.00000  3.71876e+00
 37  0.00000  3.49902e+00 | 38  0.00000  3.26256e+00 | 39  0.00000  3.01028e+00
 40  0.00000  2.74311e+00 | 41  0.00000  2.46178e+00 | 42  0.00000  2.16643e+00
 43  0.00000  1.85634e+00 | 44  0.00000  1.52881e+00 | 45  0.00000  1.17897e+00
 46  0.00000  8.00312e-01 | 47  0.00000  3.85288e-01 | 48  0.00000 -7.43916e-02
 49  0.00000 -5.87438e-01 | 50  0.00000 -1.16273e+00 | 51  0.00000 -1.80931e+00
 52  0.00000 -2.53573e+00 | 53  0.00000 -3.34975e+00 | 54  0.00000 -4.25803e+00
 55  0.00000 -5.26364e+00 | 56  0.00000 -6.37160e+00 | 57  0.00000 -7.57914e+00
 58  0.00000 -8.87926e+00 | 59  0.00000 -1.02617e+01 | 60  0.00000 -1.17087e+01
 61  0.00000 -1.31972e+01 | 62  0.00000 -1.46953e+01 | 63  0.00000 -1.61663e+01
 64  0.00000 -1.75688e+01 | 65  0.00000 -1.88579e+01 | 66  0.00000 -1.99895e+01
 67  0.00000 -2.09297e+01 | 68  0.00000 -2.16568e+01 | 69  0.00000 -2.21624e+01
 70  0.00000 -2.24517e+01 | 71  0.00000 -2.25286e+01 | 72  0.00000 -2.23885e+01
 73  0.00000 -2.20103e+01 | 74  0.00000 -2.13625e+01 | 75  0.00000 -2.04243e+01
 76  0.00000 -1.92122e+01 | 77  0.00000 -1.78051e+01 | 78  0.00000 -1.63352e+01
 79  0.00000 -1.49549e+01 | 80  0.00000 -1.37606e+01 | 81  0.00000 -1.27686e+01
 82  0.00000 -1.19317e+01 | 83  0.00000 -1.12571e+01 | 84  0.00000 -1.08927e+01
 85  0.00000 -1.08905e+01 | 86  0.00000 -1.09972e+01 | 87  0.00000 -1.16792e+01
 88  0.00000 -1.28254e+01 | 89  0.00000 -1.45610e+01 | 90  0.00000 -1.59106e+01
