
 - final statistics:
136 variables; iteration 0; function evaluation 0
Function value 7.3340e+03; maximum gradient component mag 4.1948e-04
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42335  2.62261e-04 |  2 -0.09168 -1.05223e-04 |  3 -0.01012  1.15544e-05
  4 -0.01034  9.58919e-06 |  5 -0.01056  1.29063e-05 |  6 -0.01077  1.24305e-05
  7 -0.01098  8.02325e-06 |  8 -0.01118  1.12171e-05 |  9 -0.01137  1.25889e-05
 10 -0.01156  9.91767e-06 | 11 -0.01173  1.37573e-05 | 12 -0.01190  1.60895e-05
 13 -0.01205  9.78463e-06 | 14 -0.01219  1.24888e-05 | 15 -0.01231  1.28910e-05
 16 -0.01242  1.40149e-05 | 17 -0.01251  1.34021e-05 | 18 -0.01257  1.58766e-05
 19 -0.01262  1.28815e-05 | 20 -0.01264  1.35511e-05 | 21 -0.01264  1.42204e-05
 22 -0.01261  1.23431e-05 | 23 -0.01256  1.33990e-05 | 24 -0.01247  1.58414e-05
 25 -0.01236  1.18052e-05 | 26 -0.01221  1.37594e-05 | 27 -0.01203  1.27249e-05
 28 -0.01181  1.29683e-05 | 29 -0.01155  1.25409e-05 | 30 -0.01125  1.12774e-05
 31 -0.01091  1.25497e-05 | 32 -0.01054  8.76840e-06 | 33 -0.01013  1.03450e-05
 34 -0.00969  1.09382e-05 | 35 -0.00923  7.35440e-06 | 36 -0.00875  9.72513e-06
 37 -0.00826  6.56310e-06 | 38 -0.00778  7.10559e-06 | 39 -0.00731  4.03957e-06
 40 -0.00686  1.39671e-06 | 41 -0.00645  5.17914e-06 | 42 -0.00608  1.18792e-06
 43 -0.00576 -1.98348e-06 | 44 -0.00548  6.06397e-06 | 45 -0.00524  7.10536e-06
 46 -0.00503 -8.07009e-06 | 47 -0.00482 -4.26764e-06 | 48 -0.00458  3.78189e-06
 49 -0.00430 -9.58121e-06 | 50 -0.00394 -1.76754e-05 | 51 -0.00348  1.73304e-06
 52 -0.00287 -1.41889e-05 | 53 -0.00209 -1.03291e-05 | 54 -0.00109 -1.08591e-05
 55  0.00014 -9.57697e-06 | 56  0.00165 -1.35060e-05 | 57  0.00344 -2.34528e-05
 58  0.00556 -1.35800e-05 | 59  0.00799 -5.45679e-06 | 60  0.01073 -1.58789e-05
 61  0.01376 -2.43428e-05 | 62  0.01701 -8.58746e-06 | 63  0.02039 -1.21999e-05
 64  0.02374 -2.96111e-05 | 65  0.02688 -1.24423e-05 | 66  0.02959 -1.48193e-05
 67  0.03167 -3.22977e-05 | 68  0.03301 -1.86661e-05 | 69  0.03356 -4.13661e-05
