
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3786189e+03; maximum gradient component mag -2.5411e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42335 -2.70448e+01 |  2 -0.09168 -2.54111e+02 |  3  0.00000  4.61408e+00
  4  0.00000  4.73278e+00 |  5  0.00000  4.85253e+00 |  6  0.00000  4.97308e+00
  7  0.00000  5.09427e+00 |  8  0.00000  5.21569e+00 |  9  0.00000  5.33696e+00
 10  0.00000  5.45772e+00 | 11  0.00000  5.57759e+00 | 12  0.00000  5.69618e+00
 13  0.00000  5.81310e+00 | 14  0.00000  5.92797e+00 | 15  0.00000  6.04033e+00
 16  0.00000  6.14966e+00 | 17  0.00000  6.25535e+00 | 18  0.00000  6.35672e+00
 19  0.00000  6.45308e+00 | 20  0.00000  6.54389e+00 | 21  0.00000  6.62870e+00
 22  0.00000  6.70697e+00 | 23  0.00000  6.77809e+00 | 24  0.00000  6.84128e+00
 25  0.00000  6.89556e+00 | 26  0.00000  6.93984e+00 | 27  0.00000  6.97284e+00
 28  0.00000  6.99337e+00 | 29  0.00000  7.00028e+00 | 30  0.00000  6.99202e+00
 31  0.00000  6.96886e+00 | 32  0.00000  6.92998e+00 | 33  0.00000  6.87498e+00
 34  0.00000  6.80381e+00 | 35  0.00000  6.71644e+00 | 36  0.00000  6.61305e+00
 37  0.00000  6.49418e+00 | 38  0.00000  6.36032e+00 | 39  0.00000  6.21203e+00
 40  0.00000  6.04973e+00 | 41  0.00000  5.87331e+00 | 42  0.00000  5.68163e+00
 43  0.00000  5.47276e+00 | 44  0.00000  5.24277e+00 | 45  0.00000  4.98569e+00
 46  0.00000  4.69427e+00 | 47  0.00000  4.36024e+00 | 48  0.00000  3.97402e+00
 49  0.00000  3.52600e+00 | 50  0.00000  3.00603e+00 | 51  0.00000  2.40418e+00
 52  0.00000  1.71032e+00 | 53  0.00000  9.15686e-01 | 54  0.00000  1.29588e-02
 55  0.00000 -1.00275e+00 | 56  0.00000 -2.13431e+00 | 57  0.00000 -3.38102e+00
 58  0.00000 -4.73727e+00 | 59  0.00000 -6.19337e+00 | 60  0.00000 -7.73306e+00
 61  0.00000 -9.33450e+00 | 62  0.00000 -1.09681e+01 | 63  0.00000 -1.25989e+01
 64  0.00000 -1.41874e+01 | 65  0.00000 -1.56911e+01 | 66  0.00000 -1.70685e+01
 67  0.00000 -1.82873e+01 | 68  0.00000 -1.93279e+01 | 69  0.00000 -2.01836e+01
 70  0.00000 -2.08602e+01 | 71  0.00000 -2.13618e+01 | 72  0.00000 -2.16830e+01
 73  0.00000 -2.18002e+01 | 74  0.00000 -2.16780e+01 | 75  0.00000 -2.12898e+01
 76  0.00000 -2.06448e+01 | 77  0.00000 -1.98137e+01 | 78  0.00000 -1.89204e+01
 79  0.00000 -1.81114e+01 | 80  0.00000 -1.74793e+01 | 81  0.00000 -1.70411e+01
 82  0.00000 -1.67522e+01 | 83  0.00000 -1.66250e+01 | 84  0.00000 -1.68160e+01
 85  0.00000 -1.73872e+01 | 86  0.00000 -1.80956e+01 | 87  0.00000 -1.94164e+01
 88  0.00000 -2.12397e+01 | 89  0.00000 -2.36723e+01 | 90  0.00000 -2.57006e+01
 91  0.00000 -2.77876e+01 | 92  0.00000 -3.01734e+01 | 93  0.00000 -3.17478e+01
 94  0.00000 -3.64094e+01 | 95  0.00000 -4.63038e+01 | 96  0.00000 -5.23624e+01
 97  0.00000 -5.27291e+01 | 98  0.00000 -6.56172e+01 | 99  0.00000 -8.25104e+01
100  0.00000 -6.56965e+01 |101  0.00000 -3.54121e+01 |102  0.00000 -2.60474e+01
103  0.00000 -1.84581e+01 |104  0.00000 -3.91736e+00 |105  0.00000  3.88830e+01
106  0.00000  1.10328e+02 |107  0.00000  1.43095e+02 |108  0.00000  1.34840e+02
109  0.00000  7.23381e+01 |110  0.00000 -5.41370e+00 |111  0.00000  4.47823e+00
112  0.00000  2.69392e+01 |113  0.00000  5.36226e+01 |114  0.00000  7.34322e+01
115  0.00000  4.04537e+01 |116  0.00000  2.42619e+01 |117  0.00000  1.90776e+01
118  0.00000 -1.93526e+01 |119  0.00000 -4.51480e+01 |120  0.00000 -3.17351e+01
121  0.00000 -5.07220e+01 |122  0.00000 -2.07511e+01 |123  0.00000 -9.03898e+01
124  0.00000  3.38609e+00 |125  0.00000  2.56911e+01 |126  0.00000  2.81855e+01
127  0.00000  9.34701e+00 |128  0.00000 -3.69639e+01 |129  0.00000 -1.38277e+01
130  0.00000 -3.71778e+00 |131  0.00000  1.08105e+01 |132  0.00000  5.17927e+00
133  0.00000  1.49338e+00 |134  0.00000  1.14282e-01 |135  0.27523 -3.69679e+01
136  0.18628 -5.81847e+01 |

Intermediate statistics: 136 variables; iteration 20; function evaluation 25; phase 1
Function value 7.3429981e+03; maximum gradient component mag -1.2586e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42530 -3.03274e+01 |  2 -0.10787 -1.25864e+02 |  3 -0.00965  4.61888e-01
  4 -0.00977  4.99779e-01 |  5 -0.00987  5.41088e-01 |  6 -0.00996  5.86094e-01
  7 -0.01003  6.35122e-01 |  8 -0.01008  6.88424e-01 |  9 -0.01011  7.46290e-01
 10 -0.01012  8.09015e-01 | 11 -0.01010  8.76890e-01 | 12 -0.01005  9.50221e-01
 13 -0.00997  1.02932e+00 | 14 -0.00986  1.11450e+00 | 15 -0.00972  1.20608e+00
 16 -0.00954  1.30440e+00 | 17 -0.00932  1.40976e+00 | 18 -0.00905  1.52241e+00
 19 -0.00875  1.64249e+00 | 20 -0.00839  1.77010e+00 | 21 -0.00799  1.90541e+00
 22 -0.00754  2.04862e+00 | 23 -0.00704  2.19994e+00 | 24 -0.00648  2.35956e+00
 25 -0.00587  2.52757e+00 | 26 -0.00519  2.70382e+00 | 27 -0.00446  2.88791e+00
 28 -0.00366  3.07908e+00 | 29 -0.00281  3.27621e+00 | 30 -0.00189  3.47735e+00
 31 -0.00093  3.68124e+00 | 32  0.00008  3.88516e+00 | 33  0.00112  4.08596e+00
 34  0.00218  4.27957e+00 | 35  0.00324  4.46070e+00 | 36  0.00426  4.62283e+00
 37  0.00522  4.75861e+00 | 38  0.00609  4.85968e+00 | 39  0.00682  4.91720e+00
 40  0.00738  4.92215e+00 | 41  0.00772  4.86543e+00 | 42  0.00781  4.73823e+00
 43  0.00762  4.53327e+00 | 44  0.00714  4.24486e+00 | 45  0.00635  3.86946e+00
 46  0.00528  3.40628e+00 | 47  0.00395  2.85681e+00 | 48  0.00238  2.22453e+00
 49  0.00063  1.51659e+00 | 50 -0.00124  7.43799e-01 | 51 -0.00315 -7.77345e-02
 52 -0.00500 -9.25479e-01 | 53 -0.00663 -1.76887e+00 | 54 -0.00787 -2.56825e+00
 55 -0.00847 -3.27390e+00 | 56 -0.00816 -3.83107e+00 | 57 -0.00662 -4.17963e+00
 58 -0.00352 -4.26789e+00 | 59  0.00141 -4.07140e+00 | 60  0.00821 -3.61931e+00
 61  0.01660 -3.02498e+00 | 62  0.02564 -2.50197e+00 | 63  0.03368 -2.33506e+00
 64  0.03844 -2.78988e+00 | 65  0.03782 -3.99471e+00 | 66  0.03123 -5.86425e+00
 67  0.02062 -8.08539e+00 | 68  0.00977 -1.01628e+01 | 69  0.00197 -1.16373e+01
 70 -0.00166 -1.23476e+01 | 71 -0.00150 -1.23531e+01 | 72  0.00213 -1.17148e+01
 73  0.00973 -1.03555e+01 | 74  0.02164 -8.23244e+00 | 75  0.03535 -5.70745e+00
 76  0.04501 -3.54175e+00 | 77  0.04589 -2.42015e+00 | 78  0.03864 -2.57421e+00
 79  0.02742 -3.74625e+00 | 80  0.01578 -5.45886e+00 | 81  0.00571 -7.26130e+00
 82 -0.00103 -8.66703e+00 | 83 -0.00325 -9.38805e+00 | 84 -0.00291 -9.88047e+00
 85 -0.00106 -1.03701e+01 | 86  0.00908 -9.55244e+00 | 87  0.01542 -9.95218e+00
 88  0.01729 -1.14058e+01 | 89 -0.00135 -1.56574e+01 | 90  0.00814 -1.55908e+01
 91  0.01248 -1.58373e+01 | 92  0.00091 -1.74317e+01 | 93 -0.00155 -1.64082e+01
 94  0.01889 -1.48338e+01 | 95 -0.02136 -2.28636e+01 | 96  0.06017 -1.48202e+01
 97 -0.05011 -2.26823e+01 | 98 -0.01958 -1.96706e+01 | 99  0.10729 -1.89709e+01
100  0.01061 -1.23046e+01 |101 -0.05637 -1.44346e+01 |102  0.03378  8.40307e+00
103 -0.00516 -2.14955e+00 |104  0.04483  1.14799e+01 |105 -0.03260  4.38134e+00
106 -0.01564  5.61825e+01 |107 -0.03063  6.51985e+01 |108 -0.02692  6.14398e+01
109 -0.05043  1.21255e+01 |110  0.06402  1.57449e+01 |111  0.00057  1.34278e+00
112  0.03495  2.54321e+01 |113 -0.03569  4.63689e+00 |114 -0.07169  1.76071e+00
115 -0.01389  2.28113e+00 |116  0.01231  7.95815e+00 |117 -0.02811  2.86001e+00
118  0.02043  1.02033e+00 |119  0.08236  3.40426e+00 |120 -0.02912 -1.13084e+01
121  0.09074 -5.70584e-01 |122 -0.03223 -1.50264e+01 |123  0.11329 -1.84780e+01
124 -0.01373 -3.59175e+00 |125 -0.04826 -9.53398e-02 |126 -0.05354  1.52863e+00
127 -0.02189  6.60776e-01 |128  0.10589  6.45469e+00 |129  0.03581  2.13397e+00
130  0.01792  4.06036e-01 |131 -0.03027 -5.86017e-01 |132 -0.02903 -3.19658e+00
133 -0.01192 -1.47410e+00 |134 -0.00071 -7.52757e-02 |135  0.29692 -4.25308e+00
136  0.20309 -2.34093e+01 |

 - final statistics:
136 variables; iteration 37; function evaluation 50
Function value 7.3344e+03; maximum gradient component mag 9.9538e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42339 -9.35943e+00 |  2 -0.09650  4.09469e+00 |  3 -0.00973  2.14495e-01
  4 -0.00995  2.18400e-01 |  5 -0.01017  2.22418e-01 |  6 -0.01038  2.26563e-01
  7 -0.01058  2.30851e-01 |  8 -0.01078  2.35295e-01 |  9 -0.01098  2.39911e-01
 10 -0.01116  2.44714e-01 | 11 -0.01134  2.49719e-01 | 12 -0.01150  2.54944e-01
 13 -0.01165  2.60405e-01 | 14 -0.01178  2.66119e-01 | 15 -0.01190  2.72105e-01
 16 -0.01201  2.78375e-01 | 17 -0.01209  2.84941e-01 | 18 -0.01215  2.91816e-01
 19 -0.01220  2.99014e-01 | 20 -0.01221  3.06559e-01 | 21 -0.01221  3.14488e-01
 22 -0.01217  3.22834e-01 | 23 -0.01211  3.31630e-01 | 24 -0.01202  3.40899e-01
 25 -0.01189  3.50649e-01 | 26 -0.01174  3.60861e-01 | 27 -0.01154  3.71494e-01
 28 -0.01131  3.82478e-01 | 29 -0.01104  3.93718e-01 | 30 -0.01073  4.05056e-01
 31 -0.01038  4.16405e-01 | 32 -0.01000  4.27567e-01 | 33 -0.00959  4.38323e-01
 34 -0.00915  4.48427e-01 | 35 -0.00869  4.57614e-01 | 36 -0.00821  4.65639e-01
 37 -0.00774  4.72342e-01 | 38 -0.00727  4.77635e-01 | 39 -0.00682  4.81541e-01
 40 -0.00640  4.84163e-01 | 41 -0.00601  4.85649e-01 | 42 -0.00567  4.86179e-01
 43 -0.00538  4.86062e-01 | 44 -0.00513  4.85658e-01 | 45 -0.00491  4.85369e-01
 46 -0.00471  4.85685e-01 | 47 -0.00450  4.87183e-01 | 48 -0.00426  4.90480e-01
 49 -0.00396  4.96358e-01 | 50 -0.00356  5.05491e-01 | 51 -0.00304  5.18175e-01
 52 -0.00236  5.33540e-01 | 53 -0.00150  5.48652e-01 | 54 -0.00046  5.57027e-01
 55  0.00075  5.46991e-01 | 56  0.00209  5.02183e-01 | 57  0.00350  4.04206e-01
 58  0.00494  2.45799e-01 | 59  0.00653  5.45888e-02 | 60  0.00862 -8.30100e-02
 61  0.01172 -4.46173e-02 | 62  0.01593  1.87015e-01 | 63  0.01981  3.17685e-01
 64  0.02109 -8.50880e-02 | 65  0.02152 -5.91258e-01 | 66  0.02612 -1.74834e-01
 67  0.03204  5.83704e-01 | 68  0.03530  9.53993e-01 | 69  0.03588  9.60690e-01
 70  0.03520  8.59193e-01 | 71  0.03450  8.52000e-01 | 72  0.03401  9.74446e-01
 73  0.03301  1.10044e+00 | 74  0.02997  9.56932e-01 | 75  0.02359  2.59646e-01
 76  0.01572 -6.94086e-01 | 77  0.01355 -4.46481e-01 | 78  0.01357  2.17960e-01
 79  0.01163  2.79991e-01 | 80  0.00927  2.16420e-02 | 81  0.00742 -3.10532e-01
 82  0.00593 -6.60282e-01 | 83  0.00477 -1.00639e+00 | 84  0.00452 -1.33116e+00
 85  0.00549 -1.60223e+00 | 86  0.00558 -2.01664e+00 | 87  0.00520 -2.91129e+00
 88  0.00523 -3.93904e+00 | 89  0.01610 -3.17772e+00 | 90  0.01276 -4.37991e+00
 91  0.01060 -5.06948e+00 | 92  0.00753 -5.81313e+00 | 93  0.00038 -5.78951e+00
 94 -0.00747 -7.85090e+00 | 95  0.02853 -5.77273e+00 | 96  0.01600 -7.40757e+00
 97 -0.00492 -5.51967e+00 | 98  0.00082 -7.78043e+00 | 99  0.09786 -5.33845e+00
100  0.00943 -7.92051e+00 |101 -0.01723 -3.33912e+00 |102  0.00408 -1.50593e+00
103  0.01777  1.90397e-01 |104  0.03695  3.42601e+00 |105  0.00361  6.19294e+00
106 -0.05784  7.48022e+00 |107 -0.07586  7.32098e+00 |108 -0.06863  9.95380e+00
109 -0.03206  6.93729e+00 |110  0.06564  6.64300e+00 |111  0.02682  6.01195e+00
112  0.01231  2.59611e+00 |113 -0.02832  8.97366e-01 |114 -0.07398 -3.04442e+00
115 -0.01107 -3.26494e+00 |116  0.00193 -2.70930e+00 |117 -0.02810 -1.46131e+00
118  0.02299 -2.64393e+00 |119  0.07285 -2.26558e-01 |120  0.01226  1.39478e+00
121  0.08231  2.54683e+00 |122  0.01303  4.14860e+00 |123  0.13247  1.15891e+00
124 -0.00539  1.74497e-01 |125 -0.04636  1.49504e-01 |126 -0.05658  1.59655e-01
127 -0.02086  4.46039e-01 |128  0.09259 -5.10494e-01 |129  0.03092 -3.02054e-01
130  0.01411 -9.16007e-01 |131 -0.02717  3.39724e-01 |132 -0.01709  1.48078e-01
133 -0.00479  2.80480e-01 |134 -0.00035  1.31086e-02 |135  0.28470  6.89727e+00
136  0.19415  5.12704e+00 |

 - final statistics:
146 variables; iteration 0; function evaluation 0
Function value 7.3344e+03; maximum gradient component mag 9.9538e+00
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42339 -9.35943e+00 |  2  0.37108  6.46562e+00 |  3 -0.12611  3.67795e+00
  4 -0.01318  5.42172e+00 |  5 -0.70910  4.63729e-01 |  6 -0.60422 -3.36865e+00
  7  0.37624  5.15699e+00 |  8 -0.18520  7.87019e+00 |  9  0.03404  5.74485e+00
 10 -0.60952  3.04485e-01 | 11 -0.62338  1.83820e-01 | 12 -0.09650  4.09469e+00
 13 -0.00973  2.14495e-01 | 14 -0.00995  2.18400e-01 | 15 -0.01017  2.22418e-01
 16 -0.01038  2.26563e-01 | 17 -0.01058  2.30851e-01 | 18 -0.01078  2.35295e-01
 19 -0.01098  2.39911e-01 | 20 -0.01116  2.44714e-01 | 21 -0.01134  2.49719e-01
 22 -0.01150  2.54944e-01 | 23 -0.01165  2.60405e-01 | 24 -0.01178  2.66119e-01
 25 -0.01190  2.72105e-01 | 26 -0.01201  2.78375e-01 | 27 -0.01209  2.84941e-01
 28 -0.01215  2.91816e-01 | 29 -0.01220  2.99014e-01 | 30 -0.01221  3.06559e-01
 31 -0.01221  3.14488e-01 | 32 -0.01217  3.22834e-01 | 33 -0.01211  3.31630e-01
 34 -0.01202  3.40899e-01 | 35 -0.01189  3.50649e-01 | 36 -0.01174  3.60861e-01
 37 -0.01154  3.71494e-01 | 38 -0.01131  3.82478e-01 | 39 -0.01104  3.93718e-01
 40 -0.01073  4.05056e-01 | 41 -0.01038  4.16405e-01 | 42 -0.01000  4.27567e-01
 43 -0.00959  4.38323e-01 | 44 -0.00915  4.48427e-01 | 45 -0.00869  4.57614e-01
 46 -0.00821  4.65639e-01 | 47 -0.00774  4.72342e-01 | 48 -0.00727  4.77635e-01
 49 -0.00682  4.81541e-01 | 50 -0.00640  4.84163e-01 | 51 -0.00601  4.85649e-01
 52 -0.00567  4.86179e-01 | 53 -0.00538  4.86062e-01 | 54 -0.00513  4.85658e-01
 55 -0.00491  4.85369e-01 | 56 -0.00471  4.85685e-01 | 57 -0.00450  4.87183e-01
 58 -0.00426  4.90480e-01 | 59 -0.00396  4.96358e-01 | 60 -0.00356  5.05491e-01
 61 -0.00304  5.18175e-01 | 62 -0.00236  5.33540e-01 | 63 -0.00150  5.48652e-01
 64 -0.00046  5.57027e-01 | 65  0.00075  5.46991e-01 | 66  0.00209  5.02183e-01
 67  0.00350  4.04206e-01 | 68  0.00494  2.45799e-01 | 69  0.00653  5.45888e-02
 70  0.00862 -8.30100e-02 | 71  0.01172 -4.46173e-02 | 72  0.01593  1.87015e-01
 73  0.01981  3.17685e-01 | 74  0.02109 -8.50880e-02 | 75  0.02152 -5.91258e-01
 76  0.02612 -1.74834e-01 | 77  0.03204  5.83704e-01 | 78  0.03530  9.53993e-01
 79  0.03588  9.60690e-01 | 80  0.03520  8.59193e-01 | 81  0.03450  8.52000e-01
 82  0.03401  9.74446e-01 | 83  0.03301  1.10044e+00 | 84  0.02997  9.56932e-01
 85  0.02359  2.59646e-01 | 86  0.01572 -6.94086e-01 | 87  0.01355 -4.46481e-01
 88  0.01357  2.17960e-01 | 89  0.01163  2.79991e-01 | 90  0.00927  2.16420e-02
 91  0.00742 -3.10532e-01 | 92  0.00593 -6.60282e-01 | 93  0.00477 -1.00639e+00
 94  0.00452 -1.33116e+00 | 95  0.00549 -1.60223e+00 | 96  0.00558 -2.01664e+00
 97  0.00520 -2.91129e+00 | 98  0.00523 -3.93904e+00 | 99  0.01610 -3.17772e+00
100  0.01276 -4.37991e+00 |101  0.01060 -5.06948e+00 |102  0.00753 -5.81313e+00
103  0.00038 -5.78951e+00 |104 -0.00747 -7.85090e+00 |105  0.02853 -5.77273e+00
106  0.01600 -7.40757e+00 |107 -0.00492 -5.51967e+00 |108  0.00082 -7.78043e+00
109  0.09786 -5.33845e+00 |110  0.00943 -7.92051e+00 |111 -0.01723 -3.33912e+00
112  0.00408 -1.50593e+00 |113  0.01777  1.90397e-01 |114  0.03695  3.42601e+00
115  0.00361  6.19294e+00 |116 -0.05784  7.48022e+00 |117 -0.07586  7.32098e+00
118 -0.06863  9.95380e+00 |119 -0.03206  6.93729e+00 |120  0.06564  6.64300e+00
121  0.02682  6.01195e+00 |122  0.01231  2.59611e+00 |123 -0.02832  8.97366e-01
124 -0.07398 -3.04442e+00 |125 -0.01107 -3.26494e+00 |126  0.00193 -2.70930e+00
127 -0.02810 -1.46131e+00 |128  0.02299 -2.64393e+00 |129  0.07285 -2.26558e-01
130  0.01226  1.39478e+00 |131  0.08231  2.54683e+00 |132  0.01303  4.14860e+00
133  0.13247  1.15891e+00 |134 -0.00539  1.74497e-01 |135 -0.04636  1.49504e-01
136 -0.05658  1.59655e-01 |137 -0.02086  4.46039e-01 |138  0.09259 -5.10494e-01
139  0.03092 -3.02054e-01 |140  0.01411 -9.16007e-01 |141 -0.02717  3.39724e-01
142 -0.01709  1.48078e-01 |143 -0.00479  2.80480e-01 |144 -0.00035  1.31086e-02
145  0.28470  6.89727e+00 |146  0.19415  5.12704e+00 |

Initial statistics: 176 variables; iteration 0; function evaluation 0; phase 3
Function value 7.3343565e+03; maximum gradient component mag -1.3707e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42339 -9.35943e+00 |  2  0.37108  6.46562e+00 |  3 -0.12611  3.67795e+00
  4 -0.01318  5.42172e+00 |  5 -0.70910  4.63729e-01 |  6 -0.60422 -3.36865e+00
  7  0.37624  5.15699e+00 |  8 -0.18520  7.87019e+00 |  9  0.03404  5.74485e+00
 10 -0.60952  3.04485e-01 | 11 -0.62338  1.83820e-01 | 12 -0.09650  4.09469e+00
 13 -0.00973  2.14495e-01 | 14 -0.00995  2.18400e-01 | 15 -0.01017  2.22418e-01
 16 -0.01038  2.26563e-01 | 17 -0.01058  2.30851e-01 | 18 -0.01078  2.35295e-01
 19 -0.01098  2.39911e-01 | 20 -0.01116  2.44714e-01 | 21 -0.01134  2.49719e-01
