
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3785787e+03; maximum gradient component mag -2.5317e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42335 -2.71539e+01 |  2 -0.09169 -2.53169e+02 |  3  0.00000  4.71805e+00
  4  0.00000  4.83985e+00 |  5  0.00000  4.96264e+00 |  6  0.00000  5.08615e+00
  7  0.00000  5.21021e+00 |  8  0.00000  5.33440e+00 |  9  0.00000  5.45831e+00
 10  0.00000  5.58156e+00 | 11  0.00000  5.70376e+00 | 12  0.00000  5.82451e+00
 13  0.00000  5.94340e+00 | 14  0.00000  6.06001e+00 | 15  0.00000  6.17389e+00
 16  0.00000  6.28448e+00 | 17  0.00000  6.39113e+00 | 18  0.00000  6.49313e+00
 19  0.00000  6.58979e+00 | 20  0.00000  6.68049e+00 | 21  0.00000  6.76479e+00
 22  0.00000  6.84212e+00 | 23  0.00000  6.91182e+00 | 24  0.00000  6.97307e+00
 25  0.00000  7.02484e+00 | 26  0.00000  7.06598e+00 | 27  0.00000  7.09516e+00
 28  0.00000  7.11114e+00 | 29  0.00000  7.11275e+00 | 30  0.00000  7.09831e+00
 31  0.00000  7.06823e+00 | 32  0.00000  7.02160e+00 | 33  0.00000  6.95804e+00
 34  0.00000  6.87751e+00 | 35  0.00000  6.77998e+00 | 36  0.00000  6.66565e+00
 37  0.00000  6.53514e+00 | 38  0.00000  6.38895e+00 | 39  0.00000  6.22775e+00
 40  0.00000  6.05210e+00 | 41  0.00000  5.86204e+00 | 42  0.00000  5.65662e+00
 43  0.00000  5.43414e+00 | 44  0.00000  5.19084e+00 | 45  0.00000  4.92085e+00
 46  0.00000  4.61705e+00 | 47  0.00000  4.27130e+00 | 48  0.00000  3.87407e+00
 49  0.00000  3.41588e+00 | 50  0.00000  2.88663e+00 | 51  0.00000  2.27639e+00
 52  0.00000  1.57502e+00 | 53  0.00000  7.73666e-01 | 54  0.00000 -1.35064e-01
 55  0.00000 -1.15612e+00 | 56  0.00000 -2.29269e+00 | 57  0.00000 -3.54419e+00
 58  0.00000 -4.90520e+00 | 59  0.00000 -6.36627e+00 | 60  0.00000 -7.91129e+00
 61  0.00000 -9.51862e+00 | 62  0.00000 -1.11587e+01 | 63  0.00000 -1.27968e+01
 64  0.00000 -1.43935e+01 | 65  0.00000 -1.59061e+01 | 66  0.00000 -1.72929e+01
 67  0.00000 -1.85216e+01 | 68  0.00000 -1.95720e+01 | 69  0.00000 -2.04369e+01
 70  0.00000 -2.11217e+01 | 71  0.00000 -2.16297e+01 | 72  0.00000 -2.19547e+01
 73  0.00000 -2.20724e+01 | 74  0.00000 -2.19463e+01 | 75  0.00000 -2.15492e+01
 76  0.00000 -2.08891e+01 | 77  0.00000 -2.00357e+01 | 78  0.00000 -1.91119e+01
 79  0.00000 -1.82640e+01 | 80  0.00000 -1.75840e+01 | 81  0.00000 -1.70898e+01
 82  0.00000 -1.67373e+01 | 83  0.00000 -1.65401e+01 | 84  0.00000 -1.66571e+01
 85  0.00000 -1.71541e+01 | 86  0.00000 -1.77925e+01 | 87  0.00000 -1.90528e+01
 88  0.00000 -2.08293e+01 | 89  0.00000 -2.32324e+01 | 90  0.00000 -2.52512e+01
 91  0.00000 -2.73500e+01 | 92  0.00000 -2.97688e+01 | 93  0.00000 -3.13924e+01
 94  0.00000 -3.61151e+01 | 95  0.00000 -4.60780e+01 | 96  0.00000 -5.22074e+01
 97  0.00000 -5.26441e+01 | 98  0.00000 -6.55996e+01 | 99  0.00000 -8.25557e+01
100  0.00000 -6.58047e+01 |101  0.00000 -3.55752e+01 |102  0.00000 -2.62543e+01
103  0.00000 -1.86925e+01 |104  0.00000 -4.16305e+00 |105  0.00000  3.86408e+01
106  0.00000  1.10101e+02 |107  0.00000  1.42882e+02 |108  0.00000  1.34661e+02
109  0.00000  7.22004e+01 |110  0.00000 -5.51323e+00 |111  0.00000  4.41640e+00
112  0.00000  2.69164e+01 |113  0.00000  5.36332e+01 |114  0.00000  7.34769e+01
115  0.00000  4.05231e+01 |116  0.00000  2.43460e+01 |117  0.00000  1.91671e+01
118  0.00000 -1.92664e+01 |119  0.00000 -4.50722e+01 |120  0.00000 -3.16724e+01
121  0.00000 -5.06719e+01 |122  0.00000 -2.07133e+01 |123  0.00000 -9.03620e+01
124  0.00000  3.40671e+00 |125  0.00000  2.57065e+01 |126  0.00000  2.81973e+01
127  0.00000  9.35728e+00 |128  0.00000 -3.69536e+01 |129  0.00000 -1.38183e+01
130  0.00000 -3.70978e+00 |131  0.00000  1.08161e+01 |132  0.00000  5.18180e+00
133  0.00000  1.49402e+00 |134  0.00000  1.14376e-01 |135  0.27523 -3.69275e+01
136  0.18628 -5.80893e+01 |

Intermediate statistics: 136 variables; iteration 20; function evaluation 27; phase 1
Function value 7.3409004e+03; maximum gradient component mag -1.3059e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42590 -4.54744e+01 |  2 -0.10731 -1.30595e+02 |  3 -0.00945  4.98746e-01
  4 -0.00959  5.29077e-01 |  5 -0.00972  5.61540e-01 |  6 -0.00984  5.96269e-01
  7 -0.00995  6.33438e-01 |  8 -0.01004  6.73149e-01 |  9 -0.01012  7.15529e-01
 10 -0.01018  7.60713e-01 | 11 -0.01022  8.08823e-01 | 12 -0.01024  8.59997e-01
 13 -0.01024  9.14373e-01 | 14 -0.01021  9.72086e-01 | 15 -0.01016  1.03328e+00
 16 -0.01008  1.09810e+00 | 17 -0.00997  1.16666e+00 | 18 -0.00983  1.23903e+00
 19 -0.00965  1.31524e+00 | 20 -0.00944  1.39527e+00 | 21 -0.00920  1.47918e+00
 22 -0.00891  1.56703e+00 | 23 -0.00859  1.65894e+00 | 24 -0.00822  1.75495e+00
 25 -0.00781  1.85512e+00 | 26 -0.00735  1.95934e+00 | 27 -0.00684  2.06739e+00
 28 -0.00628  2.17888e+00 | 29 -0.00568  2.29324e+00 | 30 -0.00502  2.40939e+00
 31 -0.00431  2.52683e+00 | 32 -0.00356  2.64411e+00 | 33 -0.00278  2.75958e+00
 34 -0.00197  2.87101e+00 | 35 -0.00114  2.97542e+00 | 36 -0.00033  3.06906e+00
 37  0.00046  3.14760e+00 | 38  0.00119  3.20597e+00 | 39  0.00185  3.23872e+00
 40  0.00239  3.24016e+00 | 41  0.00279  3.20437e+00 | 42  0.00302  3.12540e+00
 43  0.00306  2.99812e+00 | 44  0.00289  2.81817e+00 | 45  0.00252  2.58239e+00
 46  0.00196  2.28920e+00 | 47  0.00121  1.93836e+00 | 48  0.00032  1.53070e+00
 49 -0.00069  1.06930e+00 | 50 -0.00176  5.59451e-01 | 51 -0.00285  9.87671e-03
 52 -0.00386 -5.66447e-01 | 53 -0.00470 -1.15089e+00 | 54 -0.00524 -1.71813e+00
 55 -0.00531 -2.23490e+00 | 56 -0.00472 -2.66291e+00 | 57 -0.00321 -2.95761e+00
 58 -0.00055 -3.07693e+00 | 59  0.00349 -2.99380e+00 | 60  0.00901 -2.71511e+00
 61  0.01585 -2.30638e+00 | 62  0.02339 -1.91140e+00 | 63  0.03047 -1.74467e+00
 64  0.03537 -2.03565e+00 | 65  0.03639 -2.92784e+00 | 66  0.03283 -4.38075e+00
 67  0.02590 -6.14156e+00 | 68  0.01831 -7.81430e+00 | 69  0.01258 -9.04865e+00
 70  0.00963 -9.72644e+00 | 71  0.00931 -9.88966e+00 | 72  0.01139 -9.58061e+00
 73  0.01622 -8.73985e+00 | 74  0.02391 -7.33513e+00 | 75  0.03238 -5.64264e+00
 76  0.03727 -4.25877e+00 | 77  0.03550 -3.71790e+00 | 78  0.02815 -4.12823e+00
 79  0.01866 -5.19485e+00 | 80  0.00966 -6.52440e+00 | 81  0.00236 -7.80938e+00
 82 -0.00229 -8.73937e+00 | 83 -0.00360 -9.12898e+00 | 84 -0.00270 -9.28239e+00
 85 -0.00028 -9.35290e+00 | 86  0.00751 -8.44441e+00 | 87  0.01365 -8.27002e+00
 88  0.01741 -8.80234e+00 | 89  0.00775 -1.15638e+01 | 90  0.01441 -1.12488e+01
 91  0.01557 -1.13968e+01 | 92  0.00507 -1.29329e+01 | 93 -0.00382 -1.28568e+01
 94  0.01032 -1.13580e+01 | 95 -0.00359 -1.71161e+01 | 96  0.05275 -9.84284e+00
 97 -0.04628 -1.98746e+01 | 98 -0.02873 -1.88246e+01 | 99  0.12091 -1.63003e+01
100 -0.00524 -1.70293e+01 |101 -0.05830 -1.91589e+01 |102  0.01558 -6.65645e+00
103 -0.00154 -7.84935e+00 |104  0.04101  8.87617e+00 |105 -0.00935  1.57802e+01
106 -0.02428  4.91954e+01 |107 -0.03324  6.02051e+01 |108 -0.03416  5.38125e+01
109 -0.02994  2.11313e+01 |110  0.05423  4.17090e+00 |111  0.00750 -3.47259e+00
112  0.01154  5.35233e+00 |113 -0.02763  6.78709e+00 |114 -0.05188  1.31543e+01
115 -0.00332  1.15721e+01 |116  0.01123  1.12034e+01 |117 -0.02504  4.34107e+00
118  0.01582 -3.30743e+00 |119  0.07369 -6.94666e+00 |120 -0.03338 -1.56630e+01
121  0.08466 -5.76648e+00 |122 -0.01951 -1.02002e+01 |123  0.12382 -7.17732e+00
124 -0.00859 -7.54830e-01 |125 -0.04285  2.22909e+00 |126 -0.04963  3.16192e+00
127 -0.02100  7.78773e-01 |128  0.08881 -1.82433e+00 |129  0.02994 -4.69712e-01
130  0.01660  3.23319e-01 |131 -0.02726  5.00152e-01 |132 -0.02401 -1.76634e+00
133 -0.00986 -9.70103e-01 |134 -0.00060 -4.60492e-02 |135  0.29404 -1.22005e+01
136  0.20058 -3.08579e+01 |

 - final statistics:
136 variables; iteration 35; function evaluation 49
Function value 7.3343e+03; maximum gradient component mag 9.4437e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42343 -2.96334e+00 |  2 -0.09427  8.44107e+00 |  3 -0.01011  6.57298e-02
  4 -0.01034  6.35529e-02 |  5 -0.01057  6.12837e-02 |  6 -0.01080  5.89464e-02
  7 -0.01102  5.65659e-02 |  8 -0.01124  5.41782e-02 |  9 -0.01145  5.18200e-02
 10 -0.01165  4.95307e-02 | 11 -0.01184  4.73535e-02 | 12 -0.01202  4.53327e-02
 13 -0.01218  4.35137e-02 | 14 -0.01233  4.19427e-02 | 15 -0.01247  4.06637e-02
 16 -0.01258  3.97173e-02 | 17 -0.01268  3.91427e-02 | 18 -0.01275  3.89818e-02
 19 -0.01280  3.92851e-02 | 20 -0.01283  4.01136e-02 | 21 -0.01283  4.15281e-02
 22 -0.01280  4.35813e-02 | 23 -0.01274  4.63084e-02 | 24 -0.01266  4.97164e-02
 25 -0.01253  5.37719e-02 | 26 -0.01238  5.83940e-02 | 27 -0.01218  6.34477e-02
 28 -0.01195  6.87476e-02 | 29 -0.01168  7.40604e-02 | 30 -0.01137  7.90923e-02
 31 -0.01102  8.35722e-02 | 32 -0.01064  8.71743e-02 | 33 -0.01024  8.95923e-02
 34 -0.00980  9.05978e-02 | 35 -0.00935  9.00965e-02 | 36 -0.00889  8.82192e-02
 37 -0.00842  8.53756e-02 | 38 -0.00796  8.22440e-02 | 39 -0.00751  7.97336e-02
 40 -0.00708  7.88806e-02 | 41 -0.00667  8.07383e-02 | 42 -0.00629  8.62773e-02
 43 -0.00595  9.63442e-02 | 44 -0.00563  1.11520e-01 | 45 -0.00533  1.32030e-01
 46 -0.00503  1.57767e-01 | 47 -0.00471  1.88334e-01 | 48 -0.00436  2.23063e-01
 49 -0.00395  2.61101e-01 | 50 -0.00346  3.01208e-01 | 51 -0.00285  3.41547e-01
 52 -0.00212  3.79071e-01 | 53 -0.00124  4.09061e-01 | 54 -0.00021  4.24546e-01
 55  0.00097  4.16319e-01 | 56  0.00229  3.75684e-01 | 57  0.00374  2.98545e-01
 58  0.00538  1.95226e-01 | 59  0.00734  9.95951e-02 | 60  0.00987  6.63535e-02
 61  0.01313  1.35584e-01 | 62  0.01685  2.58419e-01 | 63  0.02018  2.66003e-01
 64  0.02233  4.11296e-02 | 65  0.02388 -2.48974e-01 | 66  0.02632 -2.71097e-01
 67  0.03000  5.63668e-02 | 68  0.03345  4.59674e-01 | 69  0.03538  7.09600e-01
 70  0.03585  8.13245e-01 | 71  0.03538  8.44059e-01 | 72  0.03412  8.19404e-01
 73  0.03162  6.59624e-01 | 74  0.02714  2.28511e-01 | 75  0.02145 -3.40559e-01
 76  0.01761 -4.57812e-01 | 77  0.01629 -1.12584e-02 | 78  0.01451  2.73120e-01
 79  0.01164  1.36484e-01 | 80  0.00901 -1.76687e-01 | 81  0.00713 -5.08629e-01
 82  0.00569 -8.40655e-01 | 83  0.00450 -1.18279e+00 | 84  0.00399 -1.55652e+00
 85  0.00429 -1.96075e+00 | 86  0.00447 -2.33139e+00 | 87  0.00568 -2.85188e+00
 88  0.00732 -3.52322e+00 | 89  0.01295 -3.74733e+00 | 90  0.01141 -4.51673e+00
 91  0.00893 -5.13552e+00 | 92  0.00783 -5.31716e+00 | 93 -0.00135 -5.47147e+00
 94 -0.00478 -6.35187e+00 | 95  0.02761 -4.23603e+00 | 96  0.01977 -4.71596e+00
 97 -0.00250 -3.14499e+00 | 98  0.00112 -5.85120e+00 | 99  0.09771 -1.40522e+00
100  0.00960 -5.75359e+00 |101 -0.01466 -6.98104e-01 |102  0.00662  1.52124e+00
103  0.01775  2.40471e+00 |104  0.03878  5.75032e+00 |105  0.00456  6.97457e+00
106 -0.06046  5.92182e+00 |107 -0.07415  7.60622e+00 |108 -0.06880  9.44374e+00
109 -0.02982  7.13365e+00 |110  0.06384  4.81336e+00 |111  0.03180  8.10399e+00
112  0.01527  3.48644e+00 |113 -0.03335 -2.44408e+00 |114 -0.07772 -5.28109e+00
115 -0.01222 -4.21493e+00 |116  0.00642 -9.52352e-01 |117 -0.02260  5.79108e-01
118  0.01997 -3.22315e+00 |119  0.07300  8.26882e-01 |120  0.02149  5.13184e+00
121  0.08134  1.82848e+00 |122  0.00835  1.40825e+00 |123  0.13266  3.28149e-01
124 -0.00555 -8.83084e-02 |125 -0.04402  1.00034e+00 |126 -0.05676  5.86985e-02
127 -0.01948  8.79916e-01 |128  0.09366 -8.83056e-02 |129  0.03106 -3.09779e-01
130  0.01211 -1.73555e+00 |131 -0.02680  4.58501e-01 |132 -0.01705  1.44470e-01
133 -0.00450  3.54935e-01 |134 -0.00034  1.49685e-02 |135  0.28167  8.69541e+00
136  0.19175  7.81690e+00 |

 - final statistics:
146 variables; iteration 0; function evaluation 0
Function value 7.3343e+03; maximum gradient component mag 9.4437e+00
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42343 -2.96334e+00 |  2  0.37108  4.51169e+00 |  3 -0.12611  4.75816e+00
  4 -0.01318  4.12664e+00 |  5 -0.70910  9.19166e-01 |  6 -0.60422 -1.55240e+00
  7  0.37624  5.29203e+00 |  8 -0.18520  9.27167e+00 |  9  0.03404  5.62009e+00
